created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,,accident,longitude,elevation,status
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2022-07-12T09:34:08+00:00,32,-79,-71,-2,7,-2,21.1277631,81.7640845,,0,,,
2022-07-12T09:34:24+00:00,33,-72,-70,-2,9,-3,21.1277631,81.7640845,,0,,,
2022-07-12T09:34:39+00:00,34,-45,74,1,8,-7,21.1277631,81.7640845,,0,,,
2022-07-12T09:34:55+00:00,35,-74,85,1,7,-2,21.1277631,81.7640845,,0,,,
2022-07-12T09:35:33+00:00,36,-69,78,2,7,-2,21.1277631,81.7640845,,0,,,
2022-07-12T09:35:48+00:00,37,-93,-85,0,8,0,21.1277631,81.7640845,,0,,,
2022-07-12T09:37:03+00:00,38,-93,-36,-6,7,0,21.1277631,81.7640845,,0,,,
2022-07-12T09:37:57+00:00,39,-52,84,1,7,-7,21.1277631,81.7640845,,0,,,
2022-07-12T09:38:15+00:00,40,-25,85,0,4,-10,21.1277631,81.7640845,,0,,,
2022-07-12T09:38:37+00:00,41,-20,-11,2,-1,-8,21.1277631,81.7640845,,0,,,
2022-07-12T09:38:53+00:00,42,-19,-7,2,0,-8,21.1277631,81.7640845,,0,,,
2022-07-12T09:39:11+00:00,43,-21,-34,3,-1,-12,21.1277631,81.7640845,,0,,,
2022-07-12T09:39:27+00:00,44,-67,-24,6,0,-2,21.1277631,81.7640845,,0,,,
2022-07-12T09:39:43+00:00,45,-85,-16,8,-5,0,21.1277631,81.7640845,,0,,,
2022-07-12T09:40:05+00:00,46,-98,-6,7,5,2,21.1277631,81.7640845,,0,,,
2022-07-12T09:40:38+00:00,47,-86,87,0,9,0,21.1277631,81.7640845,,0,,,
2022-07-12T09:40:56+00:00,48,-86,87,0,9,0,21.1277631,81.7640845,,0,,,
2022-07-12T09:41:15+00:00,49,-86,87,0,9,0,21.1277631,81.7640845,,0,,,
2022-07-12T09:41:49+00:00,50,-85,87,0,9,0,21.1277631,81.7640845,,0,,,
2022-07-12T09:42:05+00:00,51,-86,87,0,9,0,21.1277631,81.7640845,,0,,,
2022-07-12T09:42:58+00:00,52,-86,87,0,9,0,21.1277631,81.7640845,,0,,,
2022-07-12T09:43:18+00:00,53,-86,87,0,9,0,21.1277631,81.7640845,,0,,,
2022-07-12T09:43:35+00:00,54,-86,87,0,9,0,21.1277631,81.7640845,,0,,,
